Company Name,list_date
Elin Electronics Ltd.,2022-12-30
KFin Technologies Ltd.,2022-12-29
Abans Holdings Ltd.,2022-12-23
Landmark Cars Ltd.,2022-12-23
Sula Vineyards Ltd.,2022-12-22
Uniparts India Ltd.,2022-12-12
Dharmaj Crop Guard Ltd.,2022-12-08
Keystone Realtors Ltd.,2022-11-24
Inox Green Energy Services Ltd.,2022-11-23
Kaynes Technology India Ltd.,2022-11-22
Archean Chemical Industries Ltd.,2022-11-21
Five-Star Business Finance Ltd.,2022-11-21
Global Health Ltd.,2022-11-16
Bikaji Foods International Ltd.,2022-11-16
Fusion Micro Finance Ltd.,2022-11-15
DCX Systems Ltd.,2022-11-11
Tracxn Technologies Ltd.,2022-10-20
Electronics Mart India Ltd.,2022-10-17
Harsha Engineers International Ltd.,2022-09-26
Tamilnad Mercantile Bank Ltd.,2022-09-15
Dreamfolks Services Ltd.,2022-09-06
Syrma SGS Technology Ltd.,2022-08-26
Aether Industries Ltd.,2022-06-03
eMudhra Ltd.,2022-06-01
Ethos Ltd.,2022-05-30
Paradeep Phosphates Ltd.,2022-05-27
Delhivery Ltd.,2022-05-24
Venus Pipes & Tubes Ltd.,2022-05-24
Prudent Corporate Advisory Services Ltd.,2022-05-20
Life Insurance Corp.of India,2022-05-17
Rainbow Children's Medicare Ltd.,2022-05-10
Campus Activewear Ltd.,2022-05-09
Hariom Pipe Industries Ltd.,2022-04-13
Veranda Learning Solutions Ltd.,2022-04-11
Ruchi Soya Industries Ltd.,2022-04-08
Uma Exports Ltd.,2022-04-07
Vedant Fashions Ltd.,2022-02-16
Adani Wilmar Ltd.,2022-02-08
AGS Transact Technologies Ltd.,2022-01-31
Innova Captab Ltd.,2023-12-29
Azad Engineering Ltd.,2023-12-28
RBZ Jewellers Ltd.,2023-12-27
Credo Brands Marketing Ltd.,2023-12-27
Happy Forgings Ltd.,2023-12-27
Muthoot Microfin Ltd.,2023-12-26
Motisons Jewellers Ltd.,2023-12-26
Suraj Estate Developers Ltd.,2023-12-26
Inox India Ltd.,2023-12-21
India Shelter Finance Corp.Ltd.,2023-12-20
DOMS Industries Ltd.,2023-12-20
Flair Writing Industries Ltd.,2023-12-01
Tata Technologies Ltd.,2023-11-30
Gandhar Oil Refinery (India) Ltd.,2023-11-30
Fedbank Financial Services Ltd.,2023-11-30
Indian Renewable Energy Development Agency Ltd.,2023-11-29
ASK Automotive Ltd.,2023-11-15
Protean eGov Technologies Ltd.,2023-11-13
ESAF Small Finance Bank Ltd.,2023-11-10
Honasa Consumer Ltd.,2023-11-07
Cello World Ltd.,2023-11-06
Blue Jet Healthcare Ltd.,2023-11-01
IRM Energy Ltd.,2023-10-26
Plaza Wires Ltd.,2023-10-12
Valiant Laboratories Ltd.,2023-10-06
Updater Services Ltd.,2023-10-04
JSW Infrastructure Ltd.,2023-10-03
Manoj Vaibhav Gems 'N' Jewellers Ltd.,2023-10-03
Yatra Online Ltd.,2023-09-28
Sai Silks (Kalamandir) Ltd.,2023-09-27
Signatureglobal (India) Ltd.,2023-09-27
SAMHI Hotels Ltd.,2023-09-22
Zaggle Prepaid Ocean Services Ltd.,2023-09-22
EMS Ltd.,2023-09-21
R R Kabel Ltd.,2023-09-20
Jupiter Life Line Hospitals Ltd.,2023-09-18
Ratnaveer Precision Engineering Ltd.,2023-09-11
Rishabh Instruments Ltd.,2023-09-11
Vishnu Prakash R.Punglia Ltd.,2023-09-05
Aeroflex Industries Ltd.,2023-08-31
Pyramid Technoplast Ltd.,2023-08-29
TVS Supply Chain Solutions Ltd.,2023-08-23
Concord Biotech Ltd.,2023-08-18
SBFC Finance Ltd.,2023-08-16
Yatharth Hospital & Trauma Care Services Ltd.,2023-08-07
Netweb Technologies India Ltd.,2023-07-27
Utkarsh Small Finance Bank Ltd.,2023-07-21
Senco Gold Ltd.,2023-07-14
Cyient DLM Ltd.,2023-07-10
ideaForge Technology Ltd.,2023-07-07
HMA Agro Industries Ltd.,2023-07-04
IKIO Lighting Ltd.,2023-06-16
Nexus Select Trust,2023-05-19
Mankind Pharma Ltd.,2023-05-09
Avalon Technologies Ltd.,2023-04-18
Udayshivakumar Infra Ltd.,2023-04-03
Global Surfaces Ltd.,2023-03-23
Divgi TorqTransfer Systems Ltd.,2023-03-14
Sah Polymers Ltd.,2023-01-12
Radiant Cash Management Services Ltd.,2023-01-04
Unimech Aerospace & Manufacturing Ltd.,2024-12-31
Ventive Hospitality Ltd.,2024-12-30
Carraro India Ltd.,2024-12-30
Senores Pharmaceuticals Ltd.,2024-12-30
Transrail Lighting Ltd.,2024-12-27
Concord Enviro Systems Ltd.,2024-12-27
Sanathan Textiles Ltd.,2024-12-27
DAM Capital Advisors Ltd.,2024-12-27
Mamata Machinery Ltd.,2024-12-27
International Gemmological Institute (India) Ltd.,2024-12-20
Inventurus Knowledge Solutions Ltd.,2024-12-19
Vishal Mega Mart Ltd.,2024-12-18
Sai Life Sciences Ltd.,2024-12-18
One Mobikwik Systems Ltd.,2024-12-18
Property Share Investment Trust-PropShare Platina,2024-12-10
Suraksha Diagnostic Ltd.,2024-12-06
Enviro Infra Engineers Ltd.,2024-11-29
NTPC Green Energy Ltd.,2024-11-27
Zinka Logistics Solutions Ltd.,2024-11-22
Niva Bupa Health Insurance Co.Ltd.,2024-11-14
Swiggy Ltd.,2024-11-13
ACME Solar Holdings Ltd.,2024-11-13
Sagility India Ltd.,2024-11-12
Afcons Infrastructure Ltd.,2024-11-04
Godavari Biorefineries Ltd.,2024-10-30
Waaree Energies Ltd.,2024-10-28
Deepak Builders & Engineers India Ltd.,2024-10-28
Hyundai Motor India Ltd.,2024-10-22
Garuda Construction & Engineering Ltd.,2024-10-15
Diffusion Engineers Ltd.,2024-10-04
KRN Heat Exchanger & Refrigeration Ltd.,2024-10-03
Manba Finance Ltd.,2024-09-30
Western Carriers (India) Ltd.,2024-09-24
Arkade Developers Ltd.,2024-09-24
Northern Arc Capital Ltd.,2024-09-24
P N Gadgil Jewellers Ltd.,2024-09-17
Bajaj Housing Finance Ltd.,2024-09-16
Kross Ltd.,2024-09-16
Tolins Tyres Ltd.,2024-09-16
Shree Tirupati Balajee Agro Trading Co.Ltd.,2024-09-12
Gala Precision Engineering Ltd.,2024-09-09
Baazar Style Retail Ltd.,2024-09-06
ECOS (India) Mobility & Hospitality Ltd.,2024-09-04
Premier Energies Ltd.,2024-09-03
Orient Technologies Ltd.,2024-08-28
Interarch Building Products Ltd.,2024-08-26
Saraswati Saree Depot Ltd.,2024-08-20
Unicommerce eSolutions Ltd.,2024-08-13
Brainbees Solutions Ltd.,2024-08-13
Ola Electric Mobility Ltd.,2024-08-09
Ceigall India Ltd.,2024-08-08
Akums Drugs & Pharmaceuticals Ltd.,2024-08-06
Sanstar Ltd.,2024-07-26
Emcure Pharmaceuticals Ltd.,2024-07-10
Bansal Wire Industries Ltd.,2024-07-10
Vraj Iron & Steel Ltd.,2024-07-03
Allied Blenders & Distillers Ltd.,2024-07-02
Stanley Lifestyles Ltd.,2024-06-28
DEE Development Engineers Ltd.,2024-06-26
Akme Fintrade (India) Ltd.,2024-06-26
Le Travenues Technology Ltd.,2024-06-18
Kronox Lab Sciences Ltd.,2024-06-10
Awfis Space Solutions Ltd.,2024-05-30
Go Digit General Insurance Ltd.,2024-05-23
TBO Tek Ltd.,2024-05-15
Aadhar Housing Finance Ltd.,2024-05-15
Indegene Ltd.,2024-05-13
JNK India Ltd.,2024-04-30
Vodafone Idea Ltd.,2024-04-25
Bharti Hexacom Ltd.,2024-04-12
SRM Contractors Ltd.,2024-04-03
Krystal Integrated Services Ltd.,2024-03-21
Popular Vehicles & Services Ltd.,2024-03-19
Gopal Snacks Ltd.,2024-03-14
J.G.Chemicals Ltd.,2024-03-13
R K SWAMY Ltd.,2024-03-12
Bharat Highways InvIT,2024-03-12
Mukka Proteins Ltd.,2024-03-07
Platinum Industries Ltd.,2024-03-05
Exicom Tele-Systems Ltd.,2024-03-05
GPT Healthcare Ltd.,2024-02-29
Juniper Hotels Ltd.,2024-02-28
Vibhor Steel Tubes Ltd.,2024-02-20
Entero Healthcare Solutions Ltd.,2024-02-16
Rashi Peripherals Ltd.,2024-02-14
Jana Small Finance Bank Ltd.,2024-02-14
Capital Small Finance Bank Ltd.,2024-02-14
Apeejay Surrendra Park Hotels Ltd.,2024-02-12
BLS E-Services Ltd.,2024-02-06
Nova AgriTech Ltd.,2024-01-31
EPACK Durable Ltd.,2024-01-30
Medi Assist Healthcare Services Ltd.,2024-01-23
Jyoti CNC Automation Ltd.,2024-01-16
Gujarat Kidney & Super Speciality Ltd.,2025-12-30
KSH International Ltd.,2025-12-23
ICICI Prudential Asset Management Co.Ltd.,2025-12-19
Park Medi World Ltd.,2025-12-17
Nephrocare Health Services Ltd.,2025-12-17
Corona Remedies Ltd.,2025-12-15
Wakefit Innovations Ltd.,2025-12-15
Vidya Wires Ltd.,2025-12-10
Aequs Ltd.,2025-12-10
Meesho Ltd.,2025-12-10
Sudeep Pharma Ltd.,2025-11-28
Excelsoft Technologies Ltd.,2025-11-26
Capillary Technologies India Ltd.,2025-11-21
Fujiyama Power Systems Ltd.,2025-11-20
Tenneco Clean Air India Ltd.,2025-11-19
PhysicsWallah Ltd.,2025-11-18
Emmvee Photovoltaic Power Ltd.,2025-11-18
Pine Labs Ltd.,2025-11-14
Billionbrains Garage Ventures Ltd.,2025-11-12
Lenskart Solutions Ltd.,2025-11-10
Studds Accessories Ltd.,2025-11-07
Orkla India Ltd.,2025-11-06
Midwest Ltd.,2025-10-24
Canara HSBC Life Insurance Co.Ltd.,2025-10-17
Rubicon Research Ltd.,2025-10-16
Canara Robeco Asset Management Co.Ltd.,2025-10-16
Anantam Highways Trust,2025-10-16
LG Electronics India Ltd.,2025-10-14
Tata Capital Ltd.,2025-10-13
WeWork India Management Ltd.,2025-10-10
Advance Agrolife Ltd.,2025-10-08
Om Freight Forwarders Ltd.,2025-10-08
Glottis Ltd.,2025-10-07
Fabtech Technologies Ltd.,2025-10-07
Pace Digitek Ltd.,2025-10-06
Trualt Bioenergy Ltd.,2025-10-03
Jinkushal Industries Ltd.,2025-10-03
Epack Prefab Technologies Ltd.,2025-10-01
BMW Ventures Ltd.,2025-10-01
Jain Resource Recycling Ltd.,2025-10-01
Anand Rathi Share & Stock Brokers Ltd.,2025-09-30
Seshaasai Technologies Ltd.,2025-09-30
Jaro Institute of Technology Management & Research Ltd.,2025-09-30
Solarworld Energy Solutions Ltd.,2025-09-30
Atlanta Electricals Ltd.,2025-09-29
Ganesh Consumer Products Ltd.,2025-09-29
GK Energy Ltd.,2025-09-26
Saatvik Green Energy Ltd.,2025-09-26
Ivalue Infosolutions Ltd.,2025-09-25
VMS TMT Ltd.,2025-09-24
Euro Pratik Sales Ltd.,2025-09-23
Shringar House of Mangalsutra Ltd.,2025-09-17
Dev Accelerator Ltd.,2025-09-17
Urban Co.Ltd.,2025-09-17
Amanta Healthcare Ltd.,2025-09-09
Anlon Healthcare Ltd.,2025-09-03
Vikran Engineering Ltd.,2025-09-03
Mangal Electrical Industries Ltd.,2025-08-28
Shreeji Shipping Global Ltd.,2025-08-26
Gem Aromatics Ltd.,2025-08-26
Vikram Solar Ltd.,2025-08-26
Patel Retail Ltd.,2025-08-26
Regaal Resources Ltd.,2025-08-20
BlueStone Jewellery & Lifestyle Ltd.,2025-08-19
Knowledge Realty Trust,2025-08-18
All Time Plastics Ltd.,2025-08-14
JSW Cement Ltd.,2025-08-14
Highway Infrastructure Ltd.,2025-08-12
Sri Lotus Developers & Realty Ltd.,2025-08-06
M&B Engineering Ltd.,2025-08-06
National Securities Depository Ltd.,2025-08-06
Laxmi India Finance Ltd.,2025-08-05
Aditya Infotech Ltd.,2025-08-05
Property Share Investment Trust-PropShare Titania,2025-08-04
Shanti Gold International Ltd.,2025-08-01
Brigade Hotel Ventures Ltd.,2025-07-31
Indiqube Spaces Ltd.,2025-07-30
GNG Electronics Ltd.,2025-07-30
Anthem Biosciences Ltd.,2025-07-21
Smartworks Coworking Spaces Ltd.,2025-07-17
Travel Food Services Ltd.,2025-07-14
Crizac Ltd.,2025-07-09
Indogulf Cropsciences Ltd.,2025-07-03
Sambhv Steel Tubes Ltd.,2025-07-02
HDB Financial Services Ltd.,2025-07-02
Globe Civil Projects Ltd.,2025-07-01
Ellenbarrie Industrial Gases Ltd.,2025-07-01
Kalpataru Ltd.,2025-07-01
Arisinfra Solutions Ltd.,2025-06-25
Oswal Pumps Ltd.,2025-06-20
Scoda Tubes Ltd.,2025-06-04
Prostarm Info Systems Ltd.,2025-06-03
Aegis Vopak Terminals Ltd.,2025-06-02
Schloss Bangalore Ltd.,2025-06-02
Belrise Industries Ltd.,2025-05-28
Borana Weaves Ltd.,2025-05-27
Ather Energy Ltd.,2025-05-06
Quality Power Electrical Equipments Ltd.,2025-02-24
Hexaware Technologies Ltd.,2025-02-19
Ajax Engineering Ltd.,2025-02-17
Dr.Agarwal's Health Care Ltd.,2025-02-04
Denta Water & Infra Solutions Ltd.,2025-01-29
Stallion India Fluorochemicals Ltd.,2025-01-23
Laxmi Dental Ltd.,2025-01-20
Capital Infra Trust,2025-01-17
Quadrant Future Tek Ltd.,2025-01-14
Standard Glass Lining Technology Ltd.,2025-01-13
Indo Farm Equipment Ltd.,2025-01-07
CMR Green Technologies Ltd.,2026-06-10
Bagmane Prime Office REIT,2026-05-14
OnEMI Technology Solutions Ltd.,2026-05-08
Citius Transnet Investment Trust,2026-04-29
Property Share Investment Trust-Propshare Celestia,2026-04-24
Om Power Transmission Ltd.,2026-04-17
Amir Chand Jagdish Kumar (Exports) Ltd.,2026-04-02
Powerica Ltd.,2026-04-02
Sai Parenteral's Ltd.,2026-04-02
Central Mine Planning & Design Institute Ltd.,2026-03-30
GSP Crop Science Ltd.,2026-03-24
Raajmarg Infra Investment Trust,2026-03-24
Innovision Ltd.,2026-03-23
Rajputana Stainless Ltd.,2026-03-19
SEDEMAC Mechatronics Ltd.,2026-03-11
Omnitech Engineering Ltd.,2026-03-05
PNGS Reva Diamond Jewellery Ltd.,2026-03-04
Shree Ram Twistex Ltd.,2026-03-02
Clean Max Enviro Energy Solutions Ltd.,2026-03-02
Gaudium IVF & Women Health Ltd.,2026-02-27
Aye Finance Ltd.,2026-02-16
Fractal Analytics Ltd.,2026-02-16
Shadowfax Technologies Ltd.,2026-01-28
Amagi Media Labs Ltd.,2026-01-21
Bharat Coking Coal Ltd.,2026-01-19
